nice: cannot set niceness: Permission denied
Precompiling packages...
   5956.2 ms  ✓ NonlinearSolveBase
   1090.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1151.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3044.7 ms  ✓ BracketingNonlinearSolve
    925.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2244.3 ms  ✓ DiffEqBase
   1092.4 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   1096.7 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   3512.6 ms  ✓ OrdinaryDiffEqCore
   1200.1 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4750.5 ms  ✓ OrdinaryDiffEqTsit5
   2633.0 ms  ✓ DynamicalSystemsBase
   3460.9 ms  ✓ Attractors
  210 dependencies successfully precompiled in 140 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 617.41
	System time (seconds): 50.68
	Percent of CPU this job got: 330%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:22.15
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2187280
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 850
	Minor (reclaiming a frame) page faults: 12568657
	Voluntary context switches: 35378
	Involuntary context switches: 71200
	Swaps: 0
	File system inputs: 568
	File system outputs: 1071832
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
