nice: cannot set niceness: Permission denied
Precompiling packages...
   1104.9 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   3461.8 ms  ✓ OrdinaryDiffEqCore
   1197.6 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4735.8 ms  ✓ OrdinaryDiffEqTsit5
   2647.4 ms  ✓ DynamicalSystemsBase
   3489.5 ms  ✓ Attractors
  210 dependencies successfully precompiled in 140 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.5 --project=A/Attractors/Multistability-Of-Discrete-Time-Systems -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 618.52
	System time (seconds): 49.62
	Percent of CPU this job got: 329%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:22.78
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2187784
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 960
	Minor (reclaiming a frame) page faults: 12568180
	Voluntary context switches: 33569
	Involuntary context switches: 71233
	Swaps: 0
	File system inputs: 0
	File system outputs: 1074920
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
