nice: cannot set niceness: Permission denied
Precompiling packages...
	Maximum resident set size (kbytes): 4377660
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1084
	Minor (reclaiming a frame) page faults: 15890537
	Voluntary context switches: 40718
	Involuntary context switches: 320916
	Swaps: 0
	File system inputs: 139104
	File system outputs: 3083744
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
