nice: cannot set niceness: Permission denied
Precompiling packages...
   5366.1 ms  ✓ FFMPEG_jll
  18521.2 ms  ✓ ExactPredicates
  17039.6 ms  ✓ ColorSchemes
  12681.7 ms  ✓ Cairo
  21998.0 ms  ✓ Distributions
  19799.6 ms  ✓ JSON
 104618.3 ms  ✓ Unitful
   2497.8 ms  ✓ Unitful → NaNMathExt
   2664.0 ms  ✓ Unitful → ConstructionBaseUnitfulExt
   2683.7 ms  ✓ Unitful → InverseFunctionsUnitfulExt
   2794.2 ms  ✓ Unitful → PrintfExt
   4104.8 ms  ✓ ColorBrewer
   3483.6 ms  ✓ Interpolations → InterpolationsUnitfulExt
   6516.3 ms  ✓ Distributions → DistributionsChainRulesCoreExt
  18630.4 ms  ✓ DelaunayTriangulation
   2367.0 ms  ✓ KernelDensity
  53317.6 ms  ✓ GeometryBasics
   3574.9 ms  ✓ Packing
  41967.4 ms  ✓ Automa
   5915.5 ms  ✓ ShaderAbstractions
   6618.8 ms  ✓ FreeTypeAbstraction
  25409.8 ms  ✓ PlotUtils
  11448.6 ms  ✓ GridLayoutBase
  54816.8 ms  ✓ ImageCore
   7099.7 ms  ✓ ImageBase
   7568.5 ms  ✓ WebP
   9394.9 ms  ✓ JpegTurbo
 114685.1 ms  ✓ REPL
   3457.5 ms  ✓ ImageAxes
  10825.8 ms  ✓ PNGFiles
   1828.9 ms  ✓ UnicodeFun
   1431.8 ms  ✓ ImageMetadata
   3786.5 ms  ✓ Netpbm
  75730.4 ms  ✓ TiffImages
   8867.0 ms  ✓ Pkg → REPLExt
   1702.0 ms  ✓ Sixel
    873.0 ms  ✓ ImageIO
   4470.5 ms  ✓ MathTeXEngine
 126029.3 ms  ✓ Makie
  43075.9 ms  ✓ CairoMakie
  243 dependencies successfully precompiled in 343 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1105.31
	System time (seconds): 66.81
	Percent of CPU this job got: 289%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:44.72
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4330376
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 950
	Minor (reclaiming a frame) page faults: 16621732
	Voluntary context switches: 41123
	Involuntary context switches: 109222
	Swaps: 0
	File system inputs: 0
	File system outputs: 3034680
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
