nice: cannot set niceness: Permission denied
Precompiling packages...
   6940.9 ms  ✓ MathTeXEngine
 123289.5 ms  ✓ Makie
  43082.3 ms  ✓ CairoMakie
  243 dependencies successfully precompiled in 338 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +release --project=C/CairoMakie/Plot-A-Sine-Wave -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1097.70
	System time (seconds): 66.30
	Percent of CPU this job got: 290%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 6:40.04
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4228812
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 934
	Minor (reclaiming a frame) page faults: 16573105
	Voluntary context switches: 41248
	Involuntary context switches: 111463
	Swaps: 0
	File system inputs: 0
	File system outputs: 3034128
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
