nice: cannot set niceness: Permission denied
Precompiling packages...
   2050.4 ms  ✓ IteratorInterfaceExtensions
 timer              0x37b259d0->0x7a9c2d1d4160
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   5084.1 ms  ✓ MathTeXEngine
InterpolationsUnitfulExt Waiting for background task / IO / timer.
[pid 2680589] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x2c5801b0->0x73e72f86a590
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  12934.9 ms  ✓ PlotUtils
  23512.5 ms  ✓ Unitful → NaNMathExt
  23587.7 ms  ✓ Unitful → InverseFunctionsUnitfulExt
  23799.6 ms  ✓ Unitful → ConstructionBaseUnitfulExt
  23798.4 ms  ✓ Interpolations → InterpolationsUnitfulExt
  32684.9 ms  ✓ ImageCore
  42471.5 ms  ✓ TiffImages
   2607.8 ms  ✓ WebP
   2712.4 ms  ✓ Sixel
   2825.0 ms  ✓ JpegTurbo
   2966.8 ms  ✓ ImageBase
   3992.5 ms  ✓ PNGFiles
   1563.2 ms  ✓ ImageAxes
    897.2 ms  ✓ ImageMetadata
    920.5 ms  ✓ Netpbm
    361.0 ms  ✓ ImageIO
  91133.7 ms  ✓ Makie
  33088.8 ms  ✓ CairoMakie
  238 dependencies successfully precompiled in 226 seconds
  8 dependencies had output during precompilation:
┌ Unitful → NaNMathExt
│  [pid 2680582] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x1d81c170->0x7f7eec9d4340
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ ConstructionBase → ConstructionBaseIntervalSetsExt
│  [pid 2677355] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x265d51b0->0x7e7db02d3cd0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ IntervalArithmetic → IntervalArithmeticSparseArraysExt
│  [pid 2679504] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x34817dc0->0x783c6c8eb040
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Unitful → InverseFunctionsUnitfulExt
│  [pid 2680585] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x283e79c0->0x740f4f3d41f0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Unitful → ConstructionBaseUnitfulExt
│  [pid 2680581] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x37b259d0->0x7a9c2d1d4160
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ IntervalArithmetic → IntervalArithmeticIntervalSetsExt
│  [pid 2679506] waiting for IO to finish:
│   Handle type        uv_handle_t->data
│   timer              0x333bd690->0x77b506ba11e0
│  This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
└  
┌ Interpolations → InterpolationsUnitfulExt
│  [pid 2680589] waiting for IO to finish:
