Precompiling Pkg...
   2649.8 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
  72694.8 ms  ✓ ExponentialUtilities
  10162.5 ms  ✓ OrdinaryDiffEqDifferentiation
   1683.9 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   2728.8 ms  ✓ OrdinaryDiffEqLinear
  12103.5 ms  ✓ OrdinaryDiffEqExponentialRK
  13315.1 ms  ✓ OrdinaryDiffEqExtrapolation
  61127.9 ms  ✓ OrdinaryDiffEqVerner
  27733.4 ms  ✓ NonlinearSolveQuasiNewton
   2110.6 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  36090.8 ms  ✓ NonlinearSolveFirstOrder
  30443.0 ms  ✓ OrdinaryDiffEqRosenbrock
   9923.7 ms  ✓ NonlinearSolve
   3449.5 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3707.5 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3796.7 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4275.8 ms  ✓ OrdinaryDiffEqPDIRK
   5168.9 ms  ✓ OrdinaryDiffEqSDIRK
  11144.3 ms  ✓ OrdinaryDiffEqBDF
  16977.3 ms  ✓ OrdinaryDiffEqFIRK
  20129.4 ms  ✓ OrdinaryDiffEqDefault
   3680.8 ms  ✓ OrdinaryDiffEq
  211 dependencies successfully precompiled in 178 seconds. 23 already precompiled.
	Command being timed: "julia +1.11.6 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 717.51
	System time (seconds): 50.79
	Percent of CPU this job got: 342%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 3:44.26
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2038248
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 929
	Minor (reclaiming a frame) page faults: 13183748
	Voluntary context switches: 275091
	Involuntary context switches: 123102
	Swaps: 0
	File system inputs: 0
	File system outputs: 2011216
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
