nice: cannot set niceness: Permission denied
Precompiling Pkg...
  14280.7 ms  ✓ OrdinaryDiffEqExponentialRK
  29009.0 ms  ✓ NonlinearSolveQuasiNewton
  15950.8 ms  ✓ OrdinaryDiffEqExtrapolation
   2759.9 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  73034.2 ms  ✓ OrdinaryDiffEqVerner
  39847.2 ms  ✓ NonlinearSolveFirstOrder
  33269.5 ms  ✓ OrdinaryDiffEqRosenbrock
  11716.5 ms  ✓ NonlinearSolve
   3776.4 ms  ✓ OrdinaryDiffEqNonlinearSolve
   4312.6 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4354.0 ms  ✓ OrdinaryDiffEqIMEXMultistep
   4739.0 ms  ✓ OrdinaryDiffEqPDIRK
   5775.1 ms  ✓ OrdinaryDiffEqSDIRK
  12305.3 ms  ✓ OrdinaryDiffEqBDF
  18244.0 ms  ✓ OrdinaryDiffEqFIRK
  22733.4 ms  ✓ OrdinaryDiffEqDefault
   4118.7 ms  ✓ OrdinaryDiffEq
  214 dependencies successfully precompiled in 213 seconds. 23 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.6 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 866.14
	System time (seconds): 60.49
	Percent of CPU this job got: 351%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:24.00
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2044064
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 828
	Minor (reclaiming a frame) page faults: 13709250
	Voluntary context switches: 273969
	Involuntary context switches: 155571
	Swaps: 0
	File system inputs: 0
	File system outputs: 2179168
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
