nice: cannot set niceness: Permission denied
Precompiling Pkg...
   2206.7 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  38608.7 ms  ✓ NonlinearSolveFirstOrder
  34937.8 ms  ✓ OrdinaryDiffEqRosenbrock
  11902.4 ms  ✓ NonlinearSolve
   3657.8 ms  ✓ OrdinaryDiffEqNonlinearSolve
   4298.3 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4349.9 ms  ✓ OrdinaryDiffEqIMEXMultistep
   4657.4 ms  ✓ OrdinaryDiffEqPDIRK
   5718.9 ms  ✓ OrdinaryDiffEqSDIRK
  12505.0 ms  ✓ OrdinaryDiffEqBDF
  19013.9 ms  ✓ OrdinaryDiffEqFIRK
  21959.8 ms  ✓ OrdinaryDiffEqDefault
   3799.3 ms  ✓ OrdinaryDiffEq
  212 dependencies successfully precompiled in 200 seconds. 23 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.11.6 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 807.42
	System time (seconds): 54.63
	Percent of CPU this job got: 344%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:10.26
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2061072
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 990
	Minor (reclaiming a frame) page faults: 13323361
	Voluntary context switches: 286528
	Involuntary context switches: 154382
	Swaps: 0
	File system inputs: 0
	File system outputs: 2037600
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
