nice: cannot set niceness: Permission denied
Precompiling packages...
  10800.3 ms  ✓ OrdinaryDiffEqDifferentiation
   2142.2 ms  ✓ OrdinaryDiffEqNordsieck
   2301.4 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  40387.7 ms  ✓ NonlinearSolveQuasiNewton
   7333.7 ms  ✓ OrdinaryDiffEqExponentialRK
   7816.5 ms  ✓ OrdinaryDiffEqExtrapolation
   2671.3 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  54978.2 ms  ✓ NonlinearSolveFirstOrder
  48372.8 ms  ✓ OrdinaryDiffEqVerner
  27720.2 ms  ✓ OrdinaryDiffEqRosenbrock
  13250.8 ms  ✓ NonlinearSolve
   3454.2 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3741.7 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3778.8 ms  ✓ OrdinaryDiffEqStabilizedIRK
   4177.1 ms  ✓ OrdinaryDiffEqPDIRK
   4973.1 ms  ✓ OrdinaryDiffEqSDIRK
   9698.1 ms  ✓ OrdinaryDiffEqBDF
  17789.2 ms  ✓ OrdinaryDiffEqFIRK
  22082.8 ms  ✓ OrdinaryDiffEqDefault
   3641.7 ms  ✓ OrdinaryDiffEq
  211 dependencies successfully precompiled in 210 seconds. 26 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.5 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 851.30
	System time (seconds): 58.15
	Percent of CPU this job got: 333%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 4:32.90
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2181504
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1184
	Minor (reclaiming a frame) page faults: 15581585
	Voluntary context switches: 40444
	Involuntary context switches: 75788
	Swaps: 0
	File system inputs: 456
	File system outputs: 1559448
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
